%  NORTH  EAST    ELEV     FA       BG(2.35)  rd -200N has been interpolated to 635N          
%   (m)     (m)    (m)     mgal      mgal               
LINE 635                                               
     635    -5000   510.72    19.37   -30.93
     635    -4900   511.05    19.36   -30.97
     635    -4800   511.51    19.34   -31.04
     635    -4700   512.08    19.41   -31.02
     635    -4600   512.83    19.44   -31.07
     635    -4500   513.38    19.49   -31.07
     635    -4400   514.69    19.66   -31.03
     635    -4300   514.99    19.63   -31.09
     635    -4200   515.84    19.65   -31.15
     635    -4100   517.46    19.82   -31.14
     635    -4000   517.94    19.89   -31.12
     635    -3900   518.64    19.97   -31.11
     635    -3800   519.66    20.11   -31.07
     635    -3700   521.21    20.31   -31.02
     635    -3600   523.20    20.53   -31.00
     635    -3500   523.92    20.58   -31.02
     635    -3450   524.20    20.59   -31.04
     635    -3400   524.47    20.66   -30.99
     635    -3350   524.77    20.68   -31.00
     635    -3300   525.46    20.74   -31.01
     635    -3250   526.55    20.86   -31.00
     635    -3200   527.86    20.97   -31.02
     635    -3150   528.67    21.02   -31.05
     635    -3100   529.66    21.11   -31.06
     635    -3050   531.57    21.38   -30.97
     635    -3000   532.75    21.47   -31.00
     635    -2950   533.16    21.49   -31.02
     635    -2900   534.30    21.66   -30.96
     635    -2850   535.84    21.72   -31.05
     635    -2800   537.21    21.87   -31.04
     635    -2750   538.16    21.94   -31.06
     635    -2700   539.09    22.08   -31.01
     635    -2650   539.92    22.16   -31.02
     635    -2600   541.73    22.44   -30.91
     635    -2550   543.10    22.56   -30.93
     635    -2500   544.95    22.73   -30.94
     635    -2450   546.39    22.89   -30.92
     635    -2400   548.73    23.04   -31.00
     635    -2350   550.73    23.25   -30.99
     635    -2300   550.88    23.20   -31.06
     635    -2250   550.48    23.09   -31.13
     635    -2200   550.66    23.27   -30.96
     635    -2150   552.09    23.33   -31.04
     635    -2100   553.69    23.54   -30.99
     635    -2050   555.58    23.70   -31.02
     635    -2000   557.63    23.93   -30.99
     635    -1950   560.01    24.16   -30.99
     635    -1900   561.91    24.32   -31.02
     635    -1850   562.96    24.48   -30.97
     635    -1800   564.70    24.66   -30.96
     635    -1750   567.21    24.91   -30.95
     635    -1700   569.19    25.15   -30.91
     635    -1650   569.70    25.26   -30.85
     635    -1600   570.05    25.37   -30.77
     635    -1550   570.29    25.35   -30.82
     635    -1500   571.09    25.57   -30.68
     635    -1450   572.84    25.63   -30.79
     635    -1400   573.97    25.70   -30.83
     635    -1350   575.65    25.88   -30.82
     635    -1300   575.79    25.90   -30.81
     635    -1250   574.85    25.94   -30.68
     635    -1200   575.80    26.04   -30.67
     635    -1150   576.08    26.01   -30.73
     635    -1100   576.10    26.06   -30.68
     635    -1050   576.01    26.11   -30.62
     635    -1000   575.74    26.07   -30.63
     635     -950   574.88    25.96   -30.66
     635     -900   575.00    25.98   -30.65
     635     -850   575.59    26.07   -30.62
     635     -800   575.51    26.04   -30.64
     635     -700   574.07    25.95   -30.59
     635     -700   574.42    25.96   -30.61
     635     -650   572.67    25.83   -30.57
     635     -600   569.64    25.47   -30.63
